NontrivalZeros[0] = <0.5; -14.134725141734693>, Imaginary/Pi=-4.4992227511047345 : -0.83503049-0.55020367i, b=-4.49900000,-0.83503049-0.55020367i, b=-4.49900000, nv=-0.83071576-0.55669680i
NontrivalZeros[1] = <0.5; -21.022039642047552>, Imaginary/Pi=-6.691523045811293 : +0.24826709+0.96869162i, b=-6.69200000,+0.24826709+0.96869162i, b=-6.69200000, nv=+0.26302872+0.96478800i
NontrivalZeros[2] = <0.5; -25.010825623968856>, Imaginary/Pi=-7.961193057728162 : +0.91308415-0.40777118i, b=-7.96100000,+0.91308415-0.40777118i, b=-7.96100000, nv=+0.91564414-0.40198981i
NontrivalZeros[3] = <0.5; -28.571826973833005>, Imaginary/Pi=-9.094694992103744 : +0.99322772-0.11618391i, b=-9.09500000,+0.99322772-0.11618391i, b=-9.09500000, nv=+0.99224486-0.12429858i
NontrivalZeros[4] = <0.5; -31.462607049415656>, Imaginary/Pi=-10.014858868944827 : +0.49218810-0.87048887i, b=-10.01500000,+0.49218810-0.87048887i, b=-10.01500000, nv=+0.48840076-0.87261945i
NontrivalZeros[5] = <0.5; -34.13428610227789>, Imaginary/Pi=-10.865280724181023 : -0.41868612+0.90813101i, b=-10.86500000,-0.41868612+0.90813101i, b=-10.86500000, nv=-0.43083458+0.90243092i
NontrivalZeros[6] = <0.5; -36.62904395886886>, Imaginary/Pi=-11.659386813568613 : -0.98817873+0.15330621i, b=-11.65900000,-0.98817873+0.15330621i, b=-11.65900000, nv=-0.99039561+0.13826258i
NontrivalZeros[7] = <0.5; -38.9997672119304>, Imaginary/Pi=-12.414011462423897 : -0.97041519-0.24144225i, b=-12.41400000,-0.97041519-0.24144225i, b=-12.41400000, nv=-0.97027945-0.24198718i
NontrivalZeros[8] = <0.5; -41.24259263984587>, Imaginary/Pi=-13.127924969113781 : -0.34451419+0.93878111i, b=-13.12800000,-0.34451419+0.93878111i, b=-13.12800000, nv=-0.34195971+0.93971461i
NontrivalZeros[9] = <0.5; -43.41678017775185>, Imaginary/Pi=-13.819990356846851 : +0.98135740-0.19219171i, b=-13.82000000,+0.98135740-0.19219171i, b=-13.82000000, nv=+0.98129722-0.19249875i
T:ZetaZero = -0.00013091+0.99999999i, b=-8.40300000
T:ZetaZero = -0.00016258+0.99999999i, b=-6.51100000
T:ZetaZero = +0.00018011-0.99999998i, b=-5.84400000
T:ZetaZero = -0.00031604+0.99999995i, b=-9.16000000
T:ZetaZero = -0.00045657-0.99999990i, b=-14.50300000
T:ZetaZero = +0.00052404-0.99999986i, b=-8.48600000
T:ZetaZero = +0.00068281+0.99999977i, b=-1.79100000
T:ZetaZero = +0.00086238+0.99999963i, b=-4.24600000
T:ZetaZero = -0.00088708+0.99999961i, b=-6.13700000
T:ZetaZero = +0.00089227+0.99999960i, b=-5.76200000
T:ZetaZero = -0.00118473+0.99999930i, b=-12.74400000
T:ZetaZero = -0.00118767+0.99999929i, b=-0.26700000
T:ZetaZero = -0.00127802+0.99999918i, b=-5.95000000
T:ZetaZero = -0.00131465+0.99999914i, b=-5.57300000
T:ZetaZero = -0.00134665+0.99999909i, b=-0.46200000
T:ZetaZero = +0.00136694-0.99999907i, b=-15.85400000
T:ZetaZero = -0.00167174+0.99999860i, b=-11.05200000
T:ZetaZero = +0.00170302+0.99999855i, b=-9.34400000
T:ZetaZero = -0.00191725+0.99999816i, b=-9.72000000
T:ZetaZero = -0.00192238-0.99999815i, b=-5.65500000
T:ZetaZero = -0.00203996-0.99999792i, b=-14.32400000
T:ZetaZero = -0.00204833+0.99999790i, b=-5.38300000
T:ZetaZero = -0.00217626-0.99999763i, b=-8.85800000
T:ZetaZero = +0.00218858+0.99999761i, b=-15.76100000
T:ZetaZero = -0.00227174+0.99999742i, b=-0.84400000
T:ZetaZero = -0.00244493+0.99999701i, b=-3.11500000
T:ZetaZero = +0.00245410+0.99999699i, b=-4.62300000
T:ZetaZero = +0.00251299-0.99999684i, b=-12.83200000
T:ZetaZero = -0.00262964-0.99999654i, b=-3.01600000
T:ZetaZero = +0.00268211-0.99999640i, b=-2.07300000
T:ZetaZero = -0.00268525-0.99999639i, b=-15.66100000
T:ZetaZero = +0.00269082-0.99999638i, b=-12.26000000
T:ZetaZero = -0.00270604-0.99999634i, b=-6.03400000
T:ZetaZero = -0.00276301-0.99999618i, b=-7.35500000
T:ZetaZero = +0.00280530-0.99999607i, b=-1.12800000
T:ZetaZero = -0.00280691-0.99999606i, b=-0.36500000
